"","x","freq"
"1","Algeria",201
"2","American Samoa",2389
"3","Argentina",1889
"4","Australia",1108
"5","Bahrain",68
"6","Bangladesh",529
"7","Belgium",4929
"8","Belize",10
"9","Brazil",5206
"10","Bulgaria",422
"11","Cameroon",420
"12","Canada",749
"13","Canary Islands",324
"14","Chile",226
"15","China",12545
"16","Colombia",3936
"17","Congo",46
"18","Costa Rica",111
"19","Croatia",996
"20","Cuba",12
"21","Curacao",108
"22","Denmark",426
"23","Dijbouti",24
"24","Dominican Republic",279
"25","Ecuador",97
"26","Egypt",2365
"27","Estonia",868
"28","Finland",162
"29","France",4054
"30","Georgia",37
"31","Germany",3564
"32","Ghana",471
"33","Greece",7247
"34","Guadeloupe",247
"35","Guatemala",7
"36","Guinea",451
"37","Guyana",97
"38","India",2904
"39","indonesia",1
"40","Indonesia",107
"41","Iraq",42
"42","Ireland",482
"43","Israel",1074
"44","Italy",10679
"45","Ivory Coast",263
"46","Jamaica",114
"47","Japan",27
"48","Jordan",265
"49","Kenya",26
"50","Korea",3705
"51","Kuwait",16
"52","Latvia",588
"53","Liberia",27
"54","Lithuania",159
"55","Malaysia",793
"56","Maldives",27
"57","Malta",200
"58","Martinique",35
"59","Mauritania",18
"60","Mexico",1097
"61","Morocco",890
"62","Mozambique",117
"63","Netherlands",11042
"64","New Zealand",94
"65","Nigeria",26
"66","Oman",1778
"67","Pakistan",106
"68","Panama",616
"69","Peru",311
"70","Philippines",1957
"71","Poland",657
"72","Portugal",1429
"73","Puerto Rico",43
"74","Romania",59
"75","Russia",2898
"76","Saudi Arabia",1819
"77","Senegal",106
"78","Singapore",18268
"79","Slovenia",1098
"80","South Africa",6372
"81","Spain",24961
"82","Sri Lanka",737
"83","St. Lucia",4
"84","Sudan",142
"85","Suriname",1537
"86","Sweden",307
"87","Syria",14
"88","Taiwan",710
"89","Tanzania",181
"90","Thailand",181
"91","Togo",100
"92","Trinidad & Tobago",122
"93","Tunisia",926
"94","Turkey",97267
"95","U.S.A",9786
"96","Ukraine",885
"97","United Arab Emirates",2328
"98","United Kingdom",3077
"99","Uruguay",1582
"100","Venezuela",31
"101","Vietnam",919
"102","Yemen",369
